model,fold,gamma_nmse,gamma_rmse,gamma_mae,gamma_pearson,gamma_spearman,pl0_nmse,pl0_rmse,pl0_mae,pl0_pearson,pl0_spearman
empirical_median,amsterdam,0.024469230324029922,0.5388545989990234,0.4590235948562622,,,0.4550478756427765,19.38297462463379,16.615983963012695,,
gaussian_transfer,amsterdam,0.052123111123333725,0.7864599770613704,0.6747927833334066,-0.15250676648047198,-0.13527283198287443,0.5482507402622075,21.27558508751611,18.156787076097544,-0.20161813350969232,-0.21571779799979496
descriptor_ridge,amsterdam,0.03871911019086838,0.6778352856636047,0.5754908919334412,-0.1272331178188324,-0.09556030297925348,0.39947181940078735,18.160799026489258,15.312382698059082,-0.04931559041142464,-0.0966374845542644
descriptor_mlp,amsterdam,0.05333840847015381,0.7955756783485413,0.6909462809562683,-0.128464937210083,-0.08809758589532406,0.5900329947471619,22.071409225463867,19.203731536865234,0.04926533252000809,0.11234491814697622
empirical_median,barcelona,0.013197444379329681,0.4676642417907715,0.41393110156059265,,,0.5482418537139893,8.60391902923584,5.978492736816406,,
gaussian_transfer,barcelona,0.014369853444563744,0.48799506193160647,0.35231951867423195,0.5444843865527194,0.5453858759022717,1.0886513542190839,12.124242739194642,8.686848000502296,0.10087101573456031,0.0486512149661339
descriptor_ridge,barcelona,0.011340359225869179,0.4335135221481323,0.3463241159915924,0.6755396127700806,0.6445916942365969,1.040619969367981,11.853764533996582,9.588074684143066,0.2019013911485672,0.08588018357766362
descriptor_mlp,barcelona,0.010182722471654415,0.410791277885437,0.32984405755996704,0.6432726383209229,0.6042924123748603,0.7613396644592285,10.139101028442383,8.002366065979004,0.22601313889026642,0.17283599425091375
empirical_median,berlin,0.012045484036207199,0.4228917956352234,0.35679635405540466,,,0.43012964725494385,8.748499870300293,6.169439792633057,,
gaussian_transfer,berlin,0.011913988336376802,0.42057720198385945,0.3070350085763875,0.5492878641433135,0.5674431363905669,0.8320226205046773,12.167503400079195,9.410440921676331,0.17666307665331762,0.039290524628700176
descriptor_ridge,berlin,0.015843618661165237,0.48500287532806396,0.3862147629261017,0.5210453271865845,0.5502589157488685,1.0937284231185913,13.950464248657227,11.794744491577148,0.16198469698429108,0.012034783969281301
descriptor_mlp,berlin,0.025328952819108963,0.6132333278656006,0.48926663398742676,0.34098339080810547,0.35626974807835854,1.499568223953247,16.33492088317871,12.974308013916016,0.07503103464841843,0.04624323685400786
empirical_median,chicago,0.4998609721660614,1.636311411857605,1.596250295639038,,,0.6467105746269226,44.13798141479492,43.221927642822266,,
gaussian_transfer,chicago,0.3661215429151645,1.4004060782305328,1.35068756158506,0.1457486188833468,0.3458056548338094,0.5521049797547251,40.78198223143403,39.47403804452857,0.04260860574955432,-0.034528209327008307
descriptor_ridge,chicago,0.26168718934059143,1.1839479207992554,1.0858675241470337,-0.119758740067482,0.004090963337405348,0.4589391350746155,37.18219757080078,34.403446197509766,0.06331166625022888,-0.0009161682740847113
descriptor_mlp,chicago,0.2528952658176422,1.1638894081115723,1.0265192985534668,-0.04651802033185959,-0.05270247422420544,0.4674525260925293,37.52547836303711,34.13066101074219,0.05024334788322449,-0.03415521755881903
empirical_median,hamburg,0.010734664276242256,0.4054384231567383,0.33691784739494324,,,0.7598295211791992,8.919256210327148,6.852931976318359,,
gaussian_transfer,hamburg,0.016514403576792677,0.5028774077049255,0.4045607624782319,0.5037656626534325,0.5773238444843558,1.5268348412129995,12.643479168978821,9.982728807060022,0.11580257512780796,0.08365019028872613
descriptor_ridge,hamburg,0.017184585332870483,0.5129796862602234,0.42852646112442017,0.5100590586662292,0.5653617883614216,1.4570187330245972,12.351028442382812,10.491646766662598,0.35758835077285767,0.22659339941585194
descriptor_mlp,hamburg,0.03590283542871475,0.7414724826812744,0.6175916194915771,0.2389359325170517,0.26163622172368123,3.5682883262634277,19.32860565185547,15.687385559082031,0.18208074569702148,0.10168639487210847
empirical_median,london,0.011014973744750023,0.396139919757843,0.3035834729671478,,,0.3378974199295044,9.115687370300293,6.97476053237915,,
gaussian_transfer,london,0.010585478277373031,0.3883399834111789,0.3269999523253354,0.4437743949205054,0.45722748309281164,0.4234584644175843,10.204750351479273,7.488191754682034,-0.07117714734779895,-0.2767836024875101
descriptor_ridge,london,0.011583428829908371,0.4062332212924957,0.30998659133911133,0.4711131453514099,0.5048777660847273,0.47995421290397644,10.864177703857422,8.114531517028809,0.06991361081600189,-0.0688676991593978
descriptor_mlp,london,0.014587696641683578,0.45587968826293945,0.336953341960907,0.3592805862426758,0.3812363918811119,0.5827133655548096,11.97083568572998,8.905844688415527,-0.04082855209708214,0.019376998558348138
empirical_median,munich,0.017265014350414276,0.5517295002937317,0.4819015562534332,,,1.2668057680130005,9.083426475524902,7.518600940704346,,
gaussian_transfer,munich,0.028087276463203838,0.7037161751221203,0.6182549737468127,0.6884292594729186,0.6854362635272483,3.329891297973751,14.726844470838438,13.543045127136116,-0.06505592606577965,-0.17175557357639443
descriptor_ridge,munich,0.012309739366173744,0.465872585773468,0.3680703043937683,0.6608264446258545,0.6203093773491398,2.367001533508301,12.416349411010742,10.062994956970215,0.17134663462638855,0.09064596415838677
descriptor_mlp,munich,0.008112046867609024,0.37818819284439087,0.2921482026576996,0.7106682062149048,0.6693935127016757,1.2741211652755737,9.109615325927734,7.342783451080322,0.23860357701778412,0.16634400547046516
empirical_median,newyork,0.4519687592983246,1.6095023155212402,1.5810810327529907,,,0.6503195762634277,42.034549713134766,41.08019256591797,,
gaussian_transfer,newyork,0.36205131253637957,1.4405305191014859,1.4094538386560085,0.2632491247972889,0.3088142218400969,0.5480855731025079,38.58932353574913,37.553600357533355,0.3105922908761729,0.2987298557674033
descriptor_ridge,newyork,0.2142721265554428,1.1082053184509277,1.0494089126586914,0.1976364701986313,0.2539748383414148,0.3626876473426819,31.39130401611328,29.66864013671875,0.39124658703804016,0.36668391620831403
descriptor_mlp,newyork,0.2210409939289093,1.1255733966827393,0.9875732660293579,0.11675495654344559,0.10417128477346628,0.38947805762290955,32.530029296875,28.42327308654785,0.003918544854968786,0.15346365568470924
empirical_median,paris,0.01989193633198738,0.5757979154586792,0.5012043118476868,,,0.4974001348018646,7.890088081359863,5.890329837799072,,
gaussian_transfer,paris,0.018963962996111527,0.5622068226179952,0.491885460718249,0.7151239277545989,0.7025169656013495,1.0536515282204437,11.483582258293215,9.861676461075433,-0.0021408532893991577,-0.21284499652130984
descriptor_ridge,paris,0.010392026044428349,0.41618046164512634,0.3274097740650177,0.7235344052314758,0.6716692209198416,0.9620507955551147,10.973063468933105,8.604501724243164,-0.03626454994082451,-0.18260241508108213
descriptor_mlp,paris,0.008796706795692444,0.382905513048172,0.2849232852458954,0.7420122027397156,0.728224916315531,0.777318000793457,9.863436698913574,7.284675598144531,0.11110750585794449,0.08821802018771208
empirical_median,prague,0.0227966271340847,0.6295417547225952,0.5563785433769226,,,2.896233320236206,12.832304954528809,11.367398262023926,,
gaussian_transfer,prague,0.017842860050350805,0.5569567655081356,0.47230112474648517,0.6935769870304296,0.675228787553263,4.549398692093748,16.08291985568823,14.467538344365076,0.026378395249185897,-0.08633143993693917
descriptor_ridge,prague,0.0250276830047369,0.6596287488937378,0.5882235765457153,0.6866851449012756,0.6600152534500204,6.545446872711182,19.29112434387207,17.937959671020508,0.17565524578094482,0.12327628394697396
descriptor_mlp,prague,0.01041653472930193,0.42555028200149536,0.3207930326461792,0.6833476424217224,0.6442813974064399,3.209876298904419,13.509275436401367,11.357316017150879,0.10378778725862503,0.06260578116162191
empirical_median,vienna,0.01489770133048296,0.4808793067932129,0.4262995719909668,,,0.16900742053985596,6.488937854766846,5.041895389556885,,
gaussian_transfer,vienna,0.009677674304645846,0.3875805466800891,0.2996308742345805,0.6676929086323055,0.6100650808182354,0.2256461474477233,7.497814503309789,5.180818821959638,0.17406055580724775,0.13157333703074722
descriptor_ridge,vienna,0.011140594258904457,0.415844202041626,0.30691906809806824,0.6186001896858215,0.5783259244129147,0.43389177322387695,10.39708137512207,7.7303290367126465,0.11357034742832184,-0.010844606337214915
descriptor_mlp,vienna,0.012250286526978016,0.43606334924697876,0.3165968954563141,0.5684375762939453,0.5522470266478862,0.49656662344932556,11.1226806640625,7.473744869232178,0.2892749607563019,0.20696375301315206
