fold,mode,k,draw,gamma_rmse,pl0_rmse,source
amsterdam,bias,0,0,0.7752242706028039,22.797739983177195,gbdt
amsterdam,residual,0,0,0.7752242706028039,22.797739983177195,gbdt
amsterdam,bias,3,0,0.5723354556114838,15.605529535318716,gbdt
amsterdam,residual,3,0,0.5569811248841398,15.259050909866271,gbdt
amsterdam,bias,3,1,0.5649312576516154,16.716666352423285,gbdt
amsterdam,residual,3,1,0.5641781875237617,16.716768762078956,gbdt
amsterdam,bias,3,2,0.6515569059067085,22.30200495125373,gbdt
amsterdam,residual,3,2,0.6147535288307856,21.38181322131527,gbdt
amsterdam,bias,3,3,0.5720876136401976,16.0134525488317,gbdt
amsterdam,residual,3,3,0.5234585515341998,14.697866251704228,gbdt
amsterdam,bias,3,4,0.6141156674603221,17.863599820512,gbdt
amsterdam,residual,3,4,0.6130168308225276,17.804585343443648,gbdt
amsterdam,bias,3,5,0.994622519529604,25.878480493155838,gbdt
amsterdam,residual,3,5,0.9674469842395219,25.06547542065074,gbdt
amsterdam,bias,3,6,0.6573692557395661,19.303374213493694,gbdt
amsterdam,residual,3,6,0.6607386985816385,19.28656027222722,gbdt
amsterdam,bias,3,7,0.5961458914942298,15.828291947052671,gbdt
amsterdam,residual,3,7,0.5774828340488325,15.400531541448672,gbdt
amsterdam,bias,3,8,0.8784478614617448,19.975292884398037,gbdt
amsterdam,residual,3,8,0.8784478632439365,19.975292963064184,gbdt
amsterdam,bias,3,9,0.8670211526021746,26.23980435631907,gbdt
amsterdam,residual,3,9,0.8730370181295354,26.41273157011743,gbdt
amsterdam,bias,5,0,0.6092097967624647,17.017997078283507,gbdt
amsterdam,residual,5,0,0.5743189118758806,16.308245039281644,gbdt
amsterdam,bias,5,1,0.5720453955874973,15.786931479956028,gbdt
amsterdam,residual,5,1,0.5421373860318714,15.254609258765676,gbdt
amsterdam,bias,5,2,0.6856936684486054,17.70794294703737,gbdt
amsterdam,residual,5,2,0.6871922905235879,17.748758024130122,gbdt
amsterdam,bias,5,3,0.5629168125563317,15.795896435583725,gbdt
amsterdam,residual,5,3,0.550937690753488,15.380104125067414,gbdt
amsterdam,bias,5,4,0.74250019744265,21.049961079816853,gbdt
amsterdam,residual,5,4,0.7658924843176451,21.553528695233872,gbdt
amsterdam,bias,5,5,0.8834781895508675,23.369550597994678,gbdt
amsterdam,residual,5,5,0.8446847373731625,22.552662684709436,gbdt
amsterdam,bias,5,6,0.568277189940279,16.12981702544188,gbdt
amsterdam,residual,5,6,0.5514170745416895,16.00606502944508,gbdt
amsterdam,bias,5,7,0.5686128825719423,15.62524245166089,gbdt
amsterdam,residual,5,7,0.5463094894396006,15.34630844247245,gbdt
amsterdam,bias,5,8,0.56219869618727,15.669889532239184,gbdt
amsterdam,residual,5,8,0.5466879531263996,15.375247765672471,gbdt
amsterdam,bias,5,9,0.5624603100627218,15.623948744085345,gbdt
amsterdam,residual,5,9,0.5582200144288518,15.635631330106271,gbdt
amsterdam,bias,10,0,0.5870293897616213,16.55906360316523,gbdt
amsterdam,residual,10,0,0.547742109504428,15.810809363246799,gbdt
amsterdam,bias,10,1,0.5896952588966689,16.22550445963687,gbdt
amsterdam,residual,10,1,0.5415424738180388,15.12203449889446,gbdt
amsterdam,bias,10,2,0.5684321545000512,15.957379999795913,gbdt
amsterdam,residual,10,2,0.5247527323774199,15.128816766183595,gbdt
amsterdam,bias,10,3,0.5613366997429947,15.602785706710396,gbdt
amsterdam,residual,10,3,0.5145895846222557,14.401910306411189,gbdt
amsterdam,bias,10,4,0.6101493966788523,17.067026039792545,gbdt
amsterdam,residual,10,4,0.572847836010672,16.454166605667925,gbdt
amsterdam,bias,10,5,0.6159437341838702,16.374699582954133,gbdt
amsterdam,residual,10,5,0.5561040467733294,15.037340817188067,gbdt
amsterdam,bias,10,6,0.5829573826989909,16.05374195116344,gbdt
amsterdam,residual,10,6,0.5479908658833655,15.260911159695068,gbdt
amsterdam,bias,10,7,0.5642835556622702,15.724824481670487,gbdt
amsterdam,residual,10,7,0.5342858644871447,15.060175038181043,gbdt
amsterdam,bias,10,8,0.5751952733981255,15.609451970103718,gbdt
amsterdam,residual,10,8,0.5134915132879619,14.06615557146591,gbdt
amsterdam,bias,10,9,0.5926870313650876,16.406559819017403,gbdt
amsterdam,residual,10,9,0.5363999981809088,15.178666800741937,gbdt
amsterdam,bias,25,0,0.5790173524923752,16.18533271780764,gbdt
amsterdam,residual,25,0,0.5191147574777083,15.130291343212749,gbdt
amsterdam,bias,25,1,0.5584033664581176,15.645518906171132,gbdt
amsterdam,residual,25,1,0.44785085696949034,13.07615980885971,gbdt
amsterdam,bias,25,2,0.5650463644782915,15.5959145517418,gbdt
amsterdam,residual,25,2,0.49912072631945387,14.17996172012793,gbdt
amsterdam,bias,25,3,0.5809001959743784,16.08564276447436,gbdt
amsterdam,residual,25,3,0.4956341045767157,14.188017134706183,gbdt
amsterdam,bias,25,4,0.5650942894145984,15.79330613201439,gbdt
amsterdam,residual,25,4,0.5082464191539927,14.515441614126788,gbdt
amsterdam,bias,25,5,0.567370111058408,15.753737753597628,gbdt
amsterdam,residual,25,5,0.4994171522393929,14.399561799460836,gbdt
amsterdam,bias,25,6,0.562409737117289,15.634440511792402,gbdt
amsterdam,residual,25,6,0.47141576826620224,13.339473924991243,gbdt
amsterdam,bias,25,7,0.5605022026927602,15.675689762119932,gbdt
amsterdam,residual,25,7,0.46523316987692614,13.894357857064524,gbdt
amsterdam,bias,25,8,0.5724974921753826,15.749958976420283,gbdt
amsterdam,residual,25,8,0.5164236561136945,14.674160927521413,gbdt
amsterdam,bias,25,9,0.5635192444833172,15.659150020322924,gbdt
amsterdam,residual,25,9,0.48363801699854825,14.104573038394411,gbdt
amsterdam,bias,50,0,0.5580625505103292,15.565422314640943,gbdt
amsterdam,residual,50,0,0.4330036764251158,12.710318483979858,gbdt
amsterdam,bias,50,1,0.561458522987813,15.678532893477287,gbdt
amsterdam,residual,50,1,0.4427914910736523,13.012609486524246,gbdt
amsterdam,bias,50,2,0.5601628081611717,15.526584946211306,gbdt
amsterdam,residual,50,2,0.4400196045550616,12.696329022242884,gbdt
amsterdam,bias,50,3,0.5630369415024876,15.719125204271583,gbdt
amsterdam,residual,50,3,0.43763617733711513,12.763825276266841,gbdt
amsterdam,bias,50,4,0.563680271555561,15.605019634970967,gbdt
amsterdam,residual,50,4,0.459148834715789,13.066268334003073,gbdt
amsterdam,bias,50,5,0.576355916477552,15.916870939187703,gbdt
amsterdam,residual,50,5,0.47012059785267996,13.478590283903172,gbdt
amsterdam,bias,50,6,0.5647357111366909,15.90604513597264,gbdt
amsterdam,residual,50,6,0.4543230921425359,13.482419747898357,gbdt
amsterdam,bias,50,7,0.569302668865905,15.973114139695175,gbdt
amsterdam,residual,50,7,0.4534068243109283,13.283881901222676,gbdt
amsterdam,bias,50,8,0.5586719923244698,15.535696773671184,gbdt
