city,n_tiles,n_split,gamma_se_analytic,gamma_se_split,pl0_se_analytic,pl0_se_split
amsterdam,1366,1365,0.0294,0.2324,0.847,7.391
barcelona,1367,1328,0.0325,0.1808,0.711,3.984
berlin,1369,1368,0.03,0.1779,0.726,4.421
chicago,1369,1369,0.0283,0.1769,0.727,4.918
hamburg,1369,1369,0.0316,0.1672,0.818,5.026
london,1358,1341,0.0313,0.1603,0.791,4.572
munich,1356,1329,0.0306,0.1705,0.662,3.698
newyork,1369,1369,0.0253,0.1494,0.68,4.025
paris,1369,1290,0.0344,0.1894,0.646,3.822
prague,1369,1353,0.031,0.1755,0.729,4.488
vienna,1349,1161,0.0333,0.1835,0.589,3.998
